titreCours,inscription,progression,moyenneDeClasse,duree,difficulte,nbChapitres,ratioQuizEvaluation,nbEvaluations,derniereMiseAJour,idCours
Réalisez_une_analyse_exploratoire_de_données,0,19,0,15,2,19,1,2,135,4525281
Initiez-vous_au_marketing_digital,9,0,0,10,1,13,1,3,38,3013816
Simplifiez-vous_le_CSS_avec_Sass,12,8,0,15,2,21,1,3,10,6106181
Réalisez_des_calculs_distribués_sur_des_données_massives,107,44,0,20,2,15,1,2,386,4297166
Créez_une_application_web_avec_Vue.js,71,50,0,15,2,21,1,4,10,6390311
Reprenez_le_contrôle_à_l'aide_de_Linux_!,1162,66,0,30,1,33,1,5,135,43538
Initiez-vous_à_l'algèbre_relationnelle_avec_le_langage_SQL,109,27,0,20,2,25,1,2,78,4449026
Apprenez_à_programmer_en_Python,131,6,0,40,3,38,1,2,135,235344
Initiez-vous_à_la_statistique_inférentielle,134,0,0,12,2,22,1,3,395,4525306
Développez_vos_soft_skills,158,67,0,6,1,13,1,4,29,6692406
Maîtrisez_les_fondamentaux_d'Excel,194,100,0,8,1,14,1,2,49,4929811
Optimisez_votre_déploiement_en_créant_des_conteneurs_avec_Docker,483,100,0,8,2,9,1,2,135,2035766
Les_étapes_de_la_vie_du_Mentor,212,0,0,2,1,8,1,3,11,5159461
Initiez-vous_au_Machine_Learning,550,22,0,10,2,15,1,3,21,4011851
Apprenez_l’objet_avec_Java,1023,6,0,20,2,13,1,4,17,4989236
Découvrez_les_librairies_Python_pour_la_Data_Science,664,87,0,10,2,15,,0,135,4452741
Construisez_une_API_REST_avec_Symfony,472,13,0,50,3,20,1,3,135,4087036
Réalisez_un_diaporama_pour_accompagner_votre_présentation,286,0,0,6,1,7,1,2,31,5870121
Mettez_en_place_l'intégration_et_la_livraison_continues_avec_la_démarche_DevOps,483,20,0,10,3,8,1,2,66,2035736
Apprenez_à_programmer_en_Java,1125,63,0,40,3,51,1,4,135,26832
Rédigez_des_documents_de_qualité_avec_LaTeX,389,40,0,10,1,20,,0,766,1617396
Composer_son_ePortfolio,342,0,0,1,1,0,,0,134,3811216
Simplifiez_le_développement_d'applications_Java_avec_Spring,837,100,0,15,2,11,1,1,135,4504771
Décrivez_et_nettoyez_votre_jeu_de_données,549,11,0,15,2,25,1,3,48,4525266
Créez_votre_premier_site_avec_WordPress,346,100,0,4,1,5,1,2,115,2622436
Dynamisez_vos_sites_web_avec_JavaScript_!,1151,28,0,40,2,38,,0,435,1916641
Réalisez_des_sites_modernes_et_beaux_grâce_à_WordPress,419,13,0,10,1,7,1,1,430,3504421
UX_design_:_découvrez_les_fondamentaux_!,452,100,0,8,2,19,1,4,2,3013856
Construisez_des_Microservices,444,100,0,20,3,9,1,1,70,4668056
Passez_au_Full_stack_avec_Node.js__Express_et_MongoDB,460,22,0,10,2,19,1,4,45,6390246
Réalisez_la_maquette_d’une_application_mobile_avec_Adobe_XD,453,100,0,6,1,13,1,2,135,3014016
Composez_des_interfaces_utilisateurs_en_Material_Design,451,100,0,6,1,15,1,3,115,3936801
Gérez_un_projet_digital_avec_une_méthodologie_en_cascade,864,100,0,8,1,14,1,3,43,4296701
Débutez_l'analyse_logicielle_avec_UML,837,72,0,20,1,15,1,4,135,2035826
Initiez-vous_à_Python_pour_l'analyse_de_données,471,0,0,12,1,11,1,3,38,6204541
Organisez_et_packagez_une_application_Java_avec_Apache_Maven,837,100,0,20,2,10,1,1,504,4503526
Démarrez_votre_projet_avec_Python,482,0,0,4,1,15,1,3,112,4262331
Construisez_une_interface_utilisateur_flexible_et_adaptative,483,9,0,20,2,15,1,2,143,4568596
Développez_votre_première_application_Android,484,100,0,20,1,16,1,2,80,4517166
Initiez-vous_à_la_gestion_de_projet_agile,494,6,0,6,1,15,1,3,76,4507926
Créez_votre_application_web_avec_Java_EE,548,48,0,40,2,42,,0,176,626954
Découvrez_le_fonctionnement_des_algorithmes,727,100,0,4,1,14,1,3,294,4366701
Découvrez_la_méthodologie_DevOps,501,100,0,6,1,4,1,1,112,6093671
Apprenez_à_programmer_en_C_!,1288,100,0,40,2,33,1,4,97,19980
Réalisez_une_application_web_avec_React.js,825,27,0,20,2,29,1,4,70,4664381
Réalisez_le_cahier_des_charges_d'un_projet_digital,546,27,0,8,2,12,1,3,385,3676841
Maintenez-vous_à_jour_en_développement,758,100,0,2,1,0,,0,532,4057661
Gérer_un_projet_informatique_avec_des_enfants,546,12,0,10,2,17,,0,503,4225026
Préparez-vous_aux_tests_techniques_pour_devenir_développeur,727,0,0,4,1,6,1,1,58,6045521
Entraînez_un_modèle_prédictif_linéaire,624,9,0,10,2,10,1,1,1,4444646
Maîtrisez_les_bases_des_probabilités,659,13,0,12,2,12,1,3,440,4525296
Java_et_le_XML,776,40,0,10,2,9,1,1,954,2654406
Créez_votre_première_application_connectée_en_C
